# Rotation: 0.0
# Particles: 1000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-18.6,8
-23.6,11.9
-26,13.6
-28.8,14.7
-31,15
-31.7,20
-34.2,23.7
-36,28.8
-36.1,30.4
-36.1,32.4
-35.5,32.9
-34.8,33.5
-31.7,33
-26.5,29.8
-21.6,16.6
-10,7.5
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
-55.6,-55.6
