# Rotation: 0.0
# Particles: 1000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-13.1,13.8
-18.1,17.8
-20.6,19.8
-23.2,21.9
-25.4,25.4
-26.4,28.1
-28.9,30.6
-30.7,35.5
-30.9,36.5
-30.7,37.4
-30,38.6
-30,39.1
-26.7,38.6
-21.6,36
-16.6,27.7
-2.3,13.8
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
-53,-53
