 # Rotation:0.0
# Particles:2e3
# Y1[mm],Y2[mm]
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
-0.5,0.5
