# Rotation:0.0
# Particles:1e3
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-30.0,30.0,-1.25,1.25
# MLC: Y1[mm],Y2[mm]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-110.0,110.0
-120.0,120.0
-130.0,130.0
-140.0,140.0
-150.0,150.0
-140.0,140.0
-130.0,130.0
-120.0,120.0
-110.0,110.0
-110.0,110.0
-120.0,120.0
-130.0,130.0
-140.0,140.0
-150.0,150.0
-140.0,140.0
-130.0,130.0
-120.0,120.0
-110.0,110.0
-150.0,150.0
-150.0,150.0
-150.0,150.0
-150.0,150.0
-110.0,110.0
-120.0,120.0
-130.0,130.0
-140.0,140.0
-150.0,150.0
-140.0,140.0
-130.0,130.0
-120.0,120.0
-110.0,110.0
-110.0,110.0
-120.0,120.0
-130.0,130.0
-140.0,140.0
-150.0,150.0
-140.0,140.0
-130.0,130.0
-120.0,120.0
-110.0,110.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
