# Rotation:0.0
# Particles:1e3
# Y1[mm],Y2[mm]
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.0,7.0
2.0,9.0
0.0,5.0
0.0,2.0
-5.0,2.0
-7.5,5.0
-10.0,7.5.0
-10.0,7.5.0
-12.5,10.0
-12.5,10.0
-15.0,12.5
-17.5,15.0
-17.5,15.0
-17.5,15.0
-17.5,15.0
-17.5,15.0
-15.0,12.5
-12.5,10.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
