X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
16.56,-4.12,-3.48,16.1151,-4.00932,-30.25,0.0439843
-4.16,6.2,-1.4,-4.03982,6.02088,-30.25,1
-2.08,-2.04,8.92,-1.99925,-1.9608,-30.25,1
2.08,8.28,-17.96,2.05397,8.17638,-30.25,1
8.24,-10.36,-1.4,8.00194,-10.0607,-30.25,0.117281
0,8.28,13.08,0,7.92586,-30.25,1
-2.08,6.2,19.24,-1.979,5.89895,-30.25,1
-12.4,8.28,0.68,-12.0167,8.02407,-30.25,0.0643371
-2.08,10.36,25.48,-1.96696,9.79698,-30.25,1
12.4,2.04,13.08,11.8696,1.95275,-30.25,0.0701998
2.08,4.12,37.88,1.94346,3.84955,-30.25,1
4.16,-10.36,-9.64,4.07343,-10.1444,-30.25,0.980282
-14.48,-4.12,21.32,-13.7489,-3.91197,-30.25,0.0555536
-10.32,-8.28,2.76,-9.98027,-8.00743,-30.25,0.0871679
14.48,-10.36,-3.48,14.091,-10.0817,-30.25,0.049439
2.08,8.28,27.56,1.96298,7.81417,-30.25,1
-8.24,-10.36,39.96,-7.6837,-9.66057,-30.25,0.127244
4.16,-6.2,19.24,3.95801,-5.89895,-30.25,1
12.4,8.28,-17.96,12.2448,8.17638,-30.25,0.0624518
14.48,-10.36,11,13.8892,-9.9373,-30.25,0.0505855
12.4,-2.04,-15.88,12.2189,-2.01021,-30.25,0.0669095
-4.16,10.36,-17.96,-4.10794,10.2303,-30.25,0.834664
12.4,10.36,35.8,11.6093,9.69937,-30.25,0.0656763
8.24,-6.2,39.96,7.6837,-5.78142,-30.25,0.151087
0,2.04,-13.8,0,2.00597,-30.25,1
-14.48,-8.28,2.76,-14.0033,-8.00743,-30.25,0.0512467
8.24,-6.2,-13.8,8.10256,-6.09658,-30.25,0.130635
-2.08,2.04,39.96,-1.93957,1.90228,-30.25,1
14.48,8.28,0.68,14.0324,8.02407,-30.25,0.051092
10.32,-8.28,8.92,9.91934,-7.95854,-30.25,0.0881341
-4.16,10.36,11,-3.99027,9.9373,-30.25,1
